ticket_id,user_input_text,category,priority,user_name,device,application,system,error_message,department,annotated_for_ner,cleaned_input
T3069,LAN connection not working,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,lan connection not working
T3070,Unable to login due to access denied,Software Issue,Low,None,None,None,None,None,Sales,no,unable to login due to access denied
T3071,Application crashes when opening,Software Issue,Medium,None,None,None,None,None,Admin,no,application crashes when opening
T3072,LAN connection not working,Email / Communication Issue,High,None,None,None,None,None,IT,no,lan connection not working
T3073,VPN not connecting from home,Hardware Issue,Low,None,None,None,None,None,IT,no,vpn not connecting from home
T3074,Karan reports: VPN not connecting from home,Software Issue,High,Karan,mouse,None,None,None,Finance,yes,karan reports vpn not connecting from home
T3075,Internet is very slow today in Chrome on SRV-34 showing 404 error,Network Issue,Low,None,None,Chrome,SRV-34,404 error,IT,yes,internet is very slow today in chrome on srv-34 showing 404 error
T3076,Priya reports: Mouse not detected after system restart in Excel on SRV-13,Hardware Issue,High,Priya,printer,Excel,SRV-13,None,Finance,yes,priya reports mouse not detected after system restart in excel on srv-13
T3077,LAN connection not working,Software Issue,Medium,None,None,None,None,None,Finance,no,lan connection not working
T3078,Unable to login due to access denied,Other / General Support,Low,None,None,None,None,None,HR,no,unable to login due to access denied
T3079,Vikram reports: Email delivery delayed in VPN showing slow performance,Network Issue,Medium,Vikram,None,VPN,None,slow performance,Sales,yes,vikram reports email delivery delayed in vpn showing slow performance
T3080,Internet is very slow today,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,internet is very slow today
T3081,Sneha reports: Email delivery delayed in Excel showing server not reachable,Access / Authentication Issue,Medium,Sneha,PC,Excel,None,server not reachable,Operations,yes,sneha reports email delivery delayed in excel showing server not reachable
T3082,Rahul reports: Email delivery delayed in SAP on SRV-39,Hardware Issue,Low,Rahul,printer,SAP,SRV-39,None,IT,yes,rahul reports email delivery delayed in sap on srv-39
T3083,Outlook not syncing emails,Network Issue,Medium,None,None,None,None,None,HR,no,outlook not syncing emails
T3084,Software installation failing with error,Email / Communication Issue,High,None,None,None,None,None,IT,no,software installation failing with error
T3085,Keyboard keys not responding properly,Access / Authentication Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T3086,VPN not connecting from home,Other / General Support,Low,None,None,None,None,None,Admin,no,vpn not connecting from home
T3087,Application crashes when opening,Network Issue,Low,None,None,None,None,None,HR,no,application crashes when opening
T3088,Email delivery delayed,Other / General Support,Low,None,None,None,None,None,Finance,no,email delivery delayed
T3089,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,Finance,no,vpn not connecting from home
T3090,Unable to login due to access denied,Other / General Support,Low,None,None,None,None,None,Finance,no,unable to login due to access denied
T3091,Email delivery delayed,Software Issue,Low,None,None,None,None,None,Operations,no,email delivery delayed
T3092,LAN connection not working,Access / Authentication Issue,Medium,None,None,None,None,None,Sales,no,lan connection not working
T3093,Priya reports: Keyboard keys not responding properly in Outlook showing blue screen,Network Issue,Medium,Priya,keyboard,Outlook,None,blue screen,IT,yes,priya reports keyboard keys not responding properly in outlook showing blue screen
T3094,Sneha reports: Unable to login due to access denied in Excel showing connection timeout,Hardware Issue,Medium,Sneha,system,Excel,None,connection timeout,IT,yes,sneha reports unable to login due to access denied in excel showing connection timeout
T3095,Outlook not syncing emails in SAP,Other / General Support,High,None,None,SAP,None,None,Finance,yes,outlook not syncing emails in sap
T3096,Neha reports: Internet is very slow today on SRV-36,Other / General Support,Low,Neha,None,None,SRV-36,None,HR,yes,neha reports internet is very slow today on srv-36
T3097,Outlook not syncing emails,Software Issue,High,None,None,None,None,None,Operations,no,outlook not syncing emails
T3098,Email delivery delayed,Hardware Issue,High,None,None,None,None,None,Admin,no,email delivery delayed
T3099,Software installation failing with error,Other / General Support,Medium,None,None,None,None,None,Operations,no,software installation failing with error
T3100,Unable to login due to access denied,Hardware Issue,High,None,None,None,None,None,Operations,no,unable to login due to access denied
T3101,Karan reports: Email delivery delayed showing 404 error,Hardware Issue,High,Karan,None,None,None,404 error,Operations,yes,karan reports email delivery delayed showing 404 error
T3102,LAN connection not working,Network Issue,Low,None,None,None,None,None,IT,no,lan connection not working
T3103,LAN connection not working on SRV-12,Email / Communication Issue,High,None,mouse,None,SRV-12,None,IT,yes,lan connection not working on srv-12
T3104,Mouse not detected after system restart,Email / Communication Issue,High,None,None,None,None,None,Operations,no,mouse not detected after system restart
T3105,Internet is very slow today,Software Issue,Low,None,None,None,None,None,Sales,no,internet is very slow today
T3106,Unable to login due to access denied,Hardware Issue,Medium,None,None,None,None,None,Operations,no,unable to login due to access denied
T3107,Internet is very slow today,Hardware Issue,Medium,None,None,None,None,None,Sales,no,internet is very slow today
T3108,Anita reports: Unable to login due to access denied in SAP on SRV-11,Other / General Support,High,Anita,None,SAP,SRV-11,None,Finance,yes,anita reports unable to login due to access denied in sap on srv-11
T3109,Outlook not syncing emails,Access / Authentication Issue,Low,None,None,None,None,None,Operations,no,outlook not syncing emails
T3110,Outlook not syncing emails,Email / Communication Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T3111,Priya reports: Software installation failing with error on SRV-23,Hardware Issue,High,Priya,mouse,None,SRV-23,None,Admin,yes,priya reports software installation failing with error on srv-23
T3112,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,Finance,no,vpn not connecting from home
T3113,Keyboard keys not responding properly,Network Issue,Low,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T3114,LAN connection not working,Network Issue,Low,None,None,None,None,None,Operations,no,lan connection not working
T3115,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,Operations,no,outlook not syncing emails
T3116,Neha reports: LAN connection not working showing login failed,Hardware Issue,Medium,Neha,None,None,None,login failed,Finance,yes,neha reports lan connection not working showing login failed
T3117,Email delivery delayed,Hardware Issue,Low,None,None,None,None,None,IT,no,email delivery delayed
T3118,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,Sales,no,vpn not connecting from home
T3119,Priya reports: Internet is very slow today on SRV-38 showing server not reachable,Other / General Support,Low,Priya,system,None,SRV-38,server not reachable,Finance,yes,priya reports internet is very slow today on srv-38 showing server not reachable
T3120,Mouse not detected after system restart,Access / Authentication Issue,High,None,None,None,None,None,IT,no,mouse not detected after system restart
T3121,Email delivery delayed,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,email delivery delayed
T3122,Email delivery delayed,Access / Authentication Issue,High,None,None,None,None,None,IT,no,email delivery delayed
T3123,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,Admin,no,vpn not connecting from home
T3124,VPN not connecting from home,Access / Authentication Issue,High,None,None,None,None,None,IT,no,vpn not connecting from home
T3125,Internet is very slow today,Software Issue,Medium,None,None,None,None,None,IT,no,internet is very slow today
T3126,Software installation failing with error,Network Issue,Low,None,None,None,None,None,IT,no,software installation failing with error
T3127,Unable to login due to access denied,Network Issue,Low,None,None,None,None,None,Finance,no,unable to login due to access denied
T3128,Unable to login due to access denied,Access / Authentication Issue,High,None,None,None,None,None,Sales,no,unable to login due to access denied
T3129,Mouse not detected after system restart,Network Issue,Low,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3130,Mouse not detected after system restart,Other / General Support,Medium,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3131,Karan reports: VPN not connecting from home in Teams on SRV-19,Access / Authentication Issue,High,Karan,desktop,Teams,SRV-19,None,HR,yes,karan reports vpn not connecting from home in teams on srv-19
T3132,Rahul reports: Mouse not detected after system restart in Teams on SRV-46 showing access denied,Network Issue,Medium,Rahul,None,Teams,SRV-46,access denied,HR,yes,rahul reports mouse not detected after system restart in teams on srv-46 showing access denied
T3133,Mouse not detected after system restart,Hardware Issue,Low,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3134,Unable to login due to access denied,Hardware Issue,High,None,None,None,None,None,HR,no,unable to login due to access denied
T3135,Unable to login due to access denied,Software Issue,High,None,None,None,None,None,IT,no,unable to login due to access denied
T3136,LAN connection not working,Software Issue,Medium,None,None,None,None,None,IT,no,lan connection not working
T3137,Email delivery delayed,Software Issue,Low,None,None,None,None,None,IT,no,email delivery delayed
T3138,VPN not connecting from home,Email / Communication Issue,Medium,None,None,None,None,None,Admin,no,vpn not connecting from home
T3139,Keyboard keys not responding properly,Access / Authentication Issue,Medium,None,None,None,None,None,Operations,no,keyboard keys not responding properly
T3140,Outlook not syncing emails,Software Issue,High,None,None,None,None,None,Operations,no,outlook not syncing emails
T3141,Application crashes when opening,Email / Communication Issue,Medium,None,None,None,None,None,Admin,no,application crashes when opening
T3142,VPN not connecting from home,Hardware Issue,Medium,None,None,None,None,None,IT,no,vpn not connecting from home
T3143,Internet is very slow today,Network Issue,Medium,None,None,None,None,None,Sales,no,internet is very slow today
T3144,Outlook not syncing emails,Access / Authentication Issue,Low,None,None,None,None,None,Admin,no,outlook not syncing emails
T3145,Internet is very slow today,Other / General Support,Low,None,None,None,None,None,Operations,no,internet is very slow today
T3146,Email delivery delayed,Network Issue,Medium,None,None,None,None,None,Finance,yes,email delivery delayed
T3147,Email delivery delayed,Email / Communication Issue,Medium,None,None,None,None,None,HR,no,email delivery delayed
T3148,Software installation failing with error,Network Issue,Low,None,None,None,None,None,IT,no,software installation failing with error
T3149,Karan reports: Keyboard keys not responding properly in InternalTool,Access / Authentication Issue,High,Karan,laptop,InternalTool,None,None,Finance,yes,karan reports keyboard keys not responding properly in internaltool
T3150,Outlook not syncing emails,Network Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T3151,Email delivery delayed,Other / General Support,High,None,None,None,None,None,IT,no,email delivery delayed
T3152,VPN not connecting from home,Access / Authentication Issue,High,None,None,None,None,None,HR,no,vpn not connecting from home
T3153,Rahul reports: VPN not connecting from home in SAP on SRV-27,Hardware Issue,High,Rahul,None,SAP,SRV-27,None,Operations,yes,rahul reports vpn not connecting from home in sap on srv-27
T3154,Keyboard keys not responding properly,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T3155,Rahul reports: Keyboard keys not responding properly,Email / Communication Issue,Low,Rahul,None,None,None,None,IT,yes,rahul reports keyboard keys not responding properly
T3156,Sneha reports: Mouse not detected after system restart showing connection timeout,Network Issue,Low,Sneha,None,None,None,connection timeout,Sales,yes,sneha reports mouse not detected after system restart showing connection timeout
T3157,VPN not connecting from home,Email / Communication Issue,Low,None,None,None,None,None,Admin,no,vpn not connecting from home
T3158,Keyboard keys not responding properly,Other / General Support,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T3159,Rahul reports: Mouse not detected after system restart on SRV-58 showing server not reachable,Software Issue,Medium,Rahul,mouse,None,SRV-58,server not reachable,Finance,yes,rahul reports mouse not detected after system restart on srv-58 showing server not reachable
T3160,Mouse not detected after system restart in Outlook showing blue screen,Software Issue,Low,None,None,Outlook,None,blue screen,IT,yes,mouse not detected after system restart in outlook showing blue screen
T3161,LAN connection not working,Other / General Support,Medium,None,None,None,None,None,IT,no,lan connection not working
T3162,Anita reports: Mouse not detected after system restart on SRV-56 showing connection timeout,Network Issue,High,Anita,None,None,SRV-56,connection timeout,Operations,yes,anita reports mouse not detected after system restart on srv-56 showing connection timeout
T3163,Vikram reports: Application crashes when opening in InternalTool showing server not reachable,Access / Authentication Issue,High,Vikram,laptop,InternalTool,None,server not reachable,Sales,yes,vikram reports application crashes when opening in internaltool showing server not reachable
T3164,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,IT,no,vpn not connecting from home
T3165,Mouse not detected after system restart,Other / General Support,Low,None,None,None,None,None,Sales,no,mouse not detected after system restart
T3166,Internet is very slow today,Software Issue,High,None,None,None,None,None,Operations,no,internet is very slow today
T3167,Mouse not detected after system restart,Access / Authentication Issue,Low,None,None,None,None,None,Finance,no,mouse not detected after system restart
T3168,Application crashes when opening,Email / Communication Issue,Low,None,None,None,None,None,Operations,no,application crashes when opening
T3169,Internet is very slow today,Email / Communication Issue,High,None,None,None,None,None,Admin,no,internet is very slow today
T3170,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,Operations,no,vpn not connecting from home
T3171,Email delivery delayed,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,email delivery delayed
T3172,Internet is very slow today,Access / Authentication Issue,Medium,None,None,None,None,None,Finance,no,internet is very slow today
T3173,Software installation failing with error,Other / General Support,Low,None,None,None,None,None,Admin,no,software installation failing with error
T3174,Keyboard keys not responding properly,Email / Communication Issue,High,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T3175,Unable to login due to access denied,Network Issue,Medium,None,None,None,None,None,Finance,no,unable to login due to access denied
T3176,LAN connection not working,Other / General Support,High,None,None,None,None,None,Finance,no,lan connection not working
T3177,Keyboard keys not responding properly,Other / General Support,High,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T3178,Priya reports: Outlook not syncing emails in Chrome,Email / Communication Issue,Medium,Priya,None,Chrome,None,None,HR,yes,priya reports outlook not syncing emails in chrome
T3179,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,Operations,no,outlook not syncing emails
T3180,Neha reports: Application crashes when opening in Chrome showing login failed,Network Issue,High,Neha,None,Chrome,None,login failed,IT,yes,neha reports application crashes when opening in chrome showing login failed
T3181,Software installation failing with error in InternalTool on SRV-49,Access / Authentication Issue,High,None,None,InternalTool,SRV-49,None,Operations,yes,software installation failing with error in internaltool on srv-49
T3182,Anita reports: Internet is very slow today in Outlook,Email / Communication Issue,Medium,Anita,None,Outlook,None,None,Sales,yes,anita reports internet is very slow today in outlook
T3183,Keyboard keys not responding properly,Hardware Issue,Medium,None,None,None,None,None,Operations,no,keyboard keys not responding properly
T3184,Neha reports: Mouse not detected after system restart in SAP,Hardware Issue,High,Neha,monitor,SAP,None,None,HR,yes,neha reports mouse not detected after system restart in sap
T3185,Internet is very slow today,Access / Authentication Issue,Low,None,None,None,None,None,Finance,no,internet is very slow today
T3186,Application crashes when opening,Software Issue,Low,None,None,None,None,None,Operations,no,application crashes when opening
T3187,Internet is very slow today,Software Issue,Medium,None,None,None,None,None,Operations,no,internet is very slow today
T3188,VPN not connecting from home on SRV-50,Other / General Support,Medium,None,None,None,SRV-50,None,Finance,yes,vpn not connecting from home on srv-50
T3189,Anita reports: Outlook not syncing emails in VPN,Software Issue,Medium,Anita,monitor,VPN,None,None,Operations,yes,anita reports outlook not syncing emails in vpn
T3190,LAN connection not working,Hardware Issue,Medium,None,None,None,None,None,IT,no,lan connection not working
T3191,Software installation failing with error,Email / Communication Issue,Medium,None,None,None,None,None,Admin,no,software installation failing with error
T3192,Mouse not detected after system restart,Software Issue,Medium,None,None,None,None,None,IT,no,mouse not detected after system restart
T3193,LAN connection not working,Network Issue,Medium,None,None,None,None,None,Operations,no,lan connection not working
T3194,Mouse not detected after system restart,Other / General Support,Medium,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3195,Unable to login due to access denied,Access / Authentication Issue,Medium,None,None,None,None,None,Admin,no,unable to login due to access denied
T3196,Anita reports: Outlook not syncing emails in VPN showing access denied,Other / General Support,Medium,Anita,None,VPN,None,access denied,Sales,yes,anita reports outlook not syncing emails in vpn showing access denied
T3197,Keyboard keys not responding properly,Email / Communication Issue,Medium,None,None,None,None,None,HR,no,keyboard keys not responding properly
T3198,Anita reports: VPN not connecting from home,Hardware Issue,Low,Anita,None,None,None,None,IT,yes,anita reports vpn not connecting from home
T3199,Mouse not detected after system restart,Other / General Support,Low,None,None,None,None,None,HR,no,mouse not detected after system restart
T3200,Neha reports: Email delivery delayed showing application crash,Software Issue,Medium,Neha,None,None,None,application crash,Operations,yes,neha reports email delivery delayed showing application crash
T3201,Software installation failing with error,Hardware Issue,Medium,None,None,None,None,None,Admin,no,software installation failing with error
T3202,LAN connection not working,Other / General Support,Low,None,None,None,None,None,IT,no,lan connection not working
T3203,Software installation failing with error,Email / Communication Issue,High,None,monitor,None,None,None,Sales,yes,software installation failing with error
T3204,Software installation failing with error,Access / Authentication Issue,Medium,None,None,None,None,None,IT,no,software installation failing with error
T3205,Internet is very slow today,Email / Communication Issue,Medium,None,None,None,None,None,Sales,no,internet is very slow today
T3206,Email delivery delayed,Network Issue,Medium,None,None,None,None,None,IT,no,email delivery delayed
T3207,Keyboard keys not responding properly,Hardware Issue,High,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T3208,Application crashes when opening,Hardware Issue,Medium,None,None,None,None,None,Finance,no,application crashes when opening
T3209,Software installation failing with error,Access / Authentication Issue,Low,None,None,None,None,None,Finance,no,software installation failing with error
T3210,Unable to login due to access denied,Email / Communication Issue,High,None,None,None,None,None,HR,no,unable to login due to access denied
T3211,Keyboard keys not responding properly,Access / Authentication Issue,High,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T3212,Keyboard keys not responding properly,Hardware Issue,High,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T3213,LAN connection not working,Network Issue,Medium,None,None,None,None,None,Operations,no,lan connection not working
T3214,Internet is very slow today showing connection timeout,Other / General Support,Medium,None,printer,None,None,connection timeout,Sales,yes,internet is very slow today showing connection timeout
T3215,Software installation failing with error,Software Issue,Low,None,None,None,None,None,Admin,no,software installation failing with error
T3216,Amit reports: VPN not connecting from home,Hardware Issue,High,Amit,None,None,None,None,Sales,yes,amit reports vpn not connecting from home
T3217,VPN not connecting from home,Software Issue,Low,None,None,None,None,None,HR,no,vpn not connecting from home
T3218,Amit reports: Unable to login due to access denied,Email / Communication Issue,Low,Amit,None,None,None,None,Admin,yes,amit reports unable to login due to access denied
T3219,Mouse not detected after system restart,Hardware Issue,Medium,None,None,None,None,None,IT,no,mouse not detected after system restart
T3220,Mouse not detected after system restart,Network Issue,High,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3221,Email delivery delayed,Network Issue,Medium,None,None,None,None,None,Admin,no,email delivery delayed
T3222,Email delivery delayed in Chrome showing 404 error,Access / Authentication Issue,Medium,None,None,Chrome,None,404 error,Sales,yes,email delivery delayed in chrome showing 404 error
T3223,Software installation failing with error,Other / General Support,Medium,None,None,None,None,None,HR,no,software installation failing with error
T3224,Email delivery delayed,Network Issue,Medium,None,None,None,None,None,HR,no,email delivery delayed
T3225,LAN connection not working,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,lan connection not working
T3226,VPN not connecting from home,Software Issue,High,None,None,None,None,None,Operations,no,vpn not connecting from home
T3227,Anita reports: LAN connection not working in Chrome on SRV-11,Access / Authentication Issue,Low,Anita,None,Chrome,SRV-11,None,HR,yes,anita reports lan connection not working in chrome on srv-11
T3228,Outlook not syncing emails,Other / General Support,High,None,None,None,None,None,Sales,no,outlook not syncing emails
T3229,Software installation failing with error,Network Issue,Medium,None,None,None,None,None,Sales,no,software installation failing with error
T3230,Vikram reports: Keyboard keys not responding properly in VPN on SRV-21 showing application crash,Email / Communication Issue,Medium,Vikram,PC,VPN,SRV-21,application crash,Admin,yes,vikram reports keyboard keys not responding properly in vpn on srv-21 showing application crash
T3231,Application crashes when opening,Network Issue,Low,None,None,None,None,None,Finance,no,application crashes when opening
T3232,Unable to login due to access denied,Other / General Support,Low,None,None,None,None,None,IT,no,unable to login due to access denied
T3233,Mouse not detected after system restart,Hardware Issue,Low,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3234,Unable to login due to access denied,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,unable to login due to access denied
T3235,Application crashes when opening,Network Issue,Low,None,None,None,None,None,Sales,no,application crashes when opening
T3236,Email delivery delayed,Network Issue,High,None,None,None,None,None,HR,no,email delivery delayed
T3237,Mouse not detected after system restart,Network Issue,High,None,None,None,None,None,HR,no,mouse not detected after system restart
T3238,Software installation failing with error,Software Issue,High,None,None,None,None,None,Sales,no,software installation failing with error
T3239,Application crashes when opening,Other / General Support,Medium,None,None,None,None,None,Operations,no,application crashes when opening
T3240,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,Operations,no,vpn not connecting from home
T3241,LAN connection not working,Network Issue,Low,None,None,None,None,None,Sales,no,lan connection not working
T3242,Software installation failing with error,Other / General Support,Low,None,None,None,None,None,Finance,no,software installation failing with error
T3243,Email delivery delayed,Network Issue,High,None,None,None,None,None,Operations,no,email delivery delayed
T3244,Email delivery delayed,Email / Communication Issue,Low,None,None,None,None,None,Finance,no,email delivery delayed
T3245,VPN not connecting from home,Access / Authentication Issue,High,None,None,None,None,None,Admin,no,vpn not connecting from home
T3246,LAN connection not working,Email / Communication Issue,High,None,None,None,None,None,IT,no,lan connection not working
T3247,Internet is very slow today,Software Issue,Low,None,None,None,None,None,Operations,no,internet is very slow today
T3248,Software installation failing with error,Email / Communication Issue,Medium,None,None,None,None,None,Finance,no,software installation failing with error
T3249,Application crashes when opening,Network Issue,High,None,None,None,None,None,Sales,no,application crashes when opening
T3250,Outlook not syncing emails,Access / Authentication Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T3251,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,Operations,no,keyboard keys not responding properly
T3252,Application crashes when opening,Software Issue,Low,None,None,None,None,None,Admin,no,application crashes when opening
T3253,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T3254,Mouse not detected after system restart,Other / General Support,High,None,None,None,None,None,HR,no,mouse not detected after system restart
T3255,Rahul reports: LAN connection not working in InternalTool on SRV-22,Access / Authentication Issue,Low,Rahul,desktop,InternalTool,SRV-22,None,IT,yes,rahul reports lan connection not working in internaltool on srv-22
T3256,Mouse not detected after system restart,Other / General Support,Medium,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3257,Unable to login due to access denied,Other / General Support,High,None,None,None,None,None,HR,no,unable to login due to access denied
T3258,LAN connection not working,Email / Communication Issue,High,None,None,None,None,None,IT,no,lan connection not working
T3259,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,Admin,no,vpn not connecting from home
T3260,Karan reports: Application crashes when opening on SRV-40,Other / General Support,Low,Karan,None,None,SRV-40,None,Operations,yes,karan reports application crashes when opening on srv-40
T3261,Vikram reports: VPN not connecting from home in Excel,Hardware Issue,High,Vikram,None,Excel,None,None,Operations,yes,vikram reports vpn not connecting from home in excel
T3262,Internet is very slow today,Software Issue,Medium,None,None,None,None,None,Sales,no,internet is very slow today
T3263,Mouse not detected after system restart,Hardware Issue,High,None,None,None,None,None,Operations,no,mouse not detected after system restart
T3264,LAN connection not working,Network Issue,Medium,None,None,None,None,None,IT,no,lan connection not working
T3265,VPN not connecting from home,Software Issue,High,None,None,None,None,None,Admin,no,vpn not connecting from home
T3266,Amit reports: Unable to login due to access denied on SRV-47,Other / General Support,Low,Amit,None,None,SRV-47,None,Operations,yes,amit reports unable to login due to access denied on srv-47
T3267,Outlook not syncing emails,Software Issue,Medium,None,PC,None,None,None,Sales,yes,outlook not syncing emails
T3268,Software installation failing with error in VPN on SRV-47,Access / Authentication Issue,Medium,None,None,VPN,SRV-47,None,Operations,yes,software installation failing with error in vpn on srv-47
T3269,Application crashes when opening,Email / Communication Issue,Medium,None,None,None,None,None,Finance,no,application crashes when opening
T3270,Unable to login due to access denied,Hardware Issue,Low,None,None,None,None,None,Operations,no,unable to login due to access denied
T3271,Priya reports: Outlook not syncing emails in InternalTool,Software Issue,Low,Priya,None,InternalTool,None,None,Sales,yes,priya reports outlook not syncing emails in internaltool
T3272,VPN not connecting from home,Access / Authentication Issue,High,None,None,None,None,None,IT,no,vpn not connecting from home
T3273,LAN connection not working,Network Issue,Medium,None,None,None,None,None,Operations,no,lan connection not working
T3274,Outlook not syncing emails,Email / Communication Issue,High,None,None,None,None,None,Finance,no,outlook not syncing emails
T3275,Mouse not detected after system restart,Hardware Issue,Low,None,None,None,None,None,Admin,no,mouse not detected after system restart
T3276,Rahul reports: Mouse not detected after system restart in Outlook showing application crash,Hardware Issue,Medium,Rahul,printer,Outlook,None,application crash,IT,yes,rahul reports mouse not detected after system restart in outlook showing application crash
T3277,Keyboard keys not responding properly,Access / Authentication Issue,High,None,None,None,None,None,Operations,no,keyboard keys not responding properly
T3278,Internet is very slow today,Network Issue,High,None,None,None,None,None,Sales,no,internet is very slow today
T3279,Mouse not detected after system restart,Access / Authentication Issue,Medium,None,None,None,None,None,IT,no,mouse not detected after system restart
T3280,Sneha reports: Outlook not syncing emails in Chrome,Hardware Issue,High,Sneha,desktop,Chrome,None,None,Operations,yes,sneha reports outlook not syncing emails in chrome
T3281,Application crashes when opening,Network Issue,High,None,None,None,None,None,Operations,no,application crashes when opening
T3282,Internet is very slow today in Chrome on SRV-54,Email / Communication Issue,Medium,None,None,Chrome,SRV-54,None,HR,yes,internet is very slow today in chrome on srv-54
T3283,Mouse not detected after system restart,Network Issue,Medium,None,None,None,None,None,Finance,no,mouse not detected after system restart
T3284,LAN connection not working,Other / General Support,Medium,None,None,None,None,None,Admin,no,lan connection not working
T3285,Application crashes when opening,Hardware Issue,Low,None,None,None,None,None,Sales,no,application crashes when opening
T3286,Neha reports: Internet is very slow today in VPN showing application crash,Other / General Support,Medium,Neha,None,VPN,None,application crash,HR,yes,neha reports internet is very slow today in vpn showing application crash
T3287,VPN not connecting from home,Other / General Support,Medium,None,None,None,None,None,Finance,no,vpn not connecting from home
T3288,Unable to login due to access denied,Hardware Issue,Low,None,None,None,None,None,Admin,no,unable to login due to access denied
T3289,Unable to login due to access denied,Access / Authentication Issue,High,None,None,None,None,None,Sales,no,unable to login due to access denied
T3290,Rahul reports: Unable to login due to access denied showing connection timeout,Other / General Support,Low,Rahul,None,None,None,connection timeout,IT,yes,rahul reports unable to login due to access denied showing connection timeout
T3291,Application crashes when opening,Other / General Support,Low,None,None,None,None,None,Sales,no,application crashes when opening
T3292,Karan reports: Outlook not syncing emails in Excel on SRV-37,Software Issue,Low,Karan,system,Excel,SRV-37,None,IT,yes,karan reports outlook not syncing emails in excel on srv-37
T3293,Application crashes when opening,Network Issue,High,None,None,None,None,None,Operations,no,application crashes when opening
T3294,Outlook not syncing emails,Other / General Support,Medium,None,None,None,None,None,Operations,yes,outlook not syncing emails
T3295,Software installation failing with error in InternalTool on SRV-23 showing application crash,Software Issue,High,None,None,InternalTool,SRV-23,application crash,Admin,yes,software installation failing with error in internaltool on srv-23 showing application crash
T3296,LAN connection not working,Hardware Issue,Medium,None,None,None,None,None,HR,no,lan connection not working
T3297,Software installation failing with error,Access / Authentication Issue,High,None,None,None,None,None,Sales,no,software installation failing with error
T3298,LAN connection not working,Hardware Issue,Medium,None,None,None,None,None,Admin,no,lan connection not working
T3299,LAN connection not working,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,lan connection not working
T3300,Karan reports: LAN connection not working in Outlook on SRV-44,Hardware Issue,Medium,Karan,desktop,Outlook,SRV-44,None,HR,yes,karan reports lan connection not working in outlook on srv-44
T3301,Keyboard keys not responding properly,Hardware Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T3302,Anita reports: Software installation failing with error showing server not reachable,Network Issue,Medium,Anita,PC,None,None,server not reachable,Sales,yes,anita reports software installation failing with error showing server not reachable
T3303,Outlook not syncing emails,Email / Communication Issue,High,None,None,None,None,None,Finance,no,outlook not syncing emails
T3304,Rahul reports: Keyboard keys not responding properly in SAP showing connection timeout,Software Issue,Medium,Rahul,laptop,SAP,None,connection timeout,HR,yes,rahul reports keyboard keys not responding properly in sap showing connection timeout
T3305,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,Sales,no,outlook not syncing emails
T3306,Keyboard keys not responding properly on SRV-34,Email / Communication Issue,High,None,None,None,SRV-34,None,Finance,yes,keyboard keys not responding properly on srv-34
T3307,Karan reports: Outlook not syncing emails in InternalTool,Software Issue,High,Karan,None,InternalTool,None,None,IT,yes,karan reports outlook not syncing emails in internaltool
